"ID","MODELO","ANO","COR","HP","FABRICANTE","PAIS","STATUS"
"1","Golf","2020","Preto","150","Volkswagen","Alemanha","Novo"
"2","Polo","2019","Branco","130","Volkswagen","Alemanha","Seminovo"
"3","Passat","2021","Prata","180","Volkswagen","Alemanha","Usado"
"4","Tiguan","2022","Azul","200","Volkswagen","Alemanha","Novo"
"5","Fusion","2021","Vermelho","245","Ford","EUA","Seminovo"
"6","Focus","2020","Cinza","150","Ford","EUA","Usado"
"7","Mustang","2022","Amarelo","450","Ford","EUA","Novo"
"8","Corolla","2022","Branco","160","Toyota","Japao","Seminovo"
"9","Camry","2021","Azul","250","Toyota","Japao","Usado"
"10","Hilux","2020","Preto","230","Toyota","Japao","Novo"
"11","Yaris","2022","Prata","140","Toyota","Japao","Seminovo"
"12","RAV4","2021","Verde","200","Toyota","Japao","Usado"
"13","Uno","2020","Cinza","75","Fiat","Italia","Novo"
"14","Palio","2019","Branco","85","Fiat","Italia","Seminovo"
"15","Toro","2022","Vermelho","180","Fiat","Italia","Usado"
"16","500","2021","Amarelo","100","Fiat","Italia","Novo"
"17","X5","2022","Preto","330","BMW","Alemanha","Seminovo"
"18","320i","2021","Prata","250","BMW","Alemanha","Usado"
"19","M3","2023","Vermelho","500","BMW","Alemanha","Novo"
"20","330e","2021","Azul","250","BMW","Alemanha","Seminovo"
"21","Civic","2021","Prata","180","Honda","Japao","Usado"
"22","CR-V","2020","Branco","220","Honda","Japao","Novo"
"23","HR-V","2021","Azul","180","Honda","Japao","Seminovo"
"24","Fit","2020","Cinza","130","Honda","Japao","Usado"
"25","Cruze","2020","Preto","160","Chevrolet","EUA","Novo"
"26","Onix","2021","Vermelho","115","Chevrolet","EUA","Seminovo"
"27","Camaro","2023","Amarelo","350","Chevrolet","EUA","Usado"
"28","Trailblazer","2022","Prata","250","Chevrolet","EUA","Novo"
"29","Equinox","2021","Azul","220","Chevrolet","EUA","Seminovo"
"30","Creta","2021","Branco","150","Hyundai","Coreia do Sul","Usado"
"31","Elantra","2021","Cinza","160","Hyundai","Coreia do Sul","Novo"
"32","Tucson","2020","Preto","190","Hyundai","Coreia do Sul","Seminovo"
"33","HB20","2022","Vermelho","120","Hyundai","Coreia do Sul","Usado"
"34","Kona","2022","Azul","200","Hyundai","Coreia do Sul","Novo"
"35","Duster","2020","Prata","150","Renault","Franca","Seminovo"
"36","Sandero","2021","Amarelo","110","Renault","Franca","Usado"
"37","Kwid","2021","Vermelho","70","Renault","Franca","Novo"
"38","Captur","2022","Branco","170","Renault","Franca","Seminovo"
"39","208","2020","Preto","130","Peugeot","Franca","Usado"
"40","3008","2021","Cinza","180","Peugeot","Franca","Novo"
"41","5008","2021","Azul","220","Peugeot","Franca","Seminovo"
"42","A-Class","2021","Vermelho","250","Mercedes-Benz","Alemanha","Usado"
"43","C-Class","2022","Branco","300","Mercedes-Benz","Alemanha","Novo"
"44","E-Class","2021","Prata","350","Mercedes-Benz","Alemanha","Seminovo"
